"AUTHORITIES","DELETECODE","DELETEDATE","DELETEUSER","EXPIRATIONDATE","FAMILYNAME","FKROLEID","GIVENNAME","ID","ISINVALID","ISNOTLOCKED","LOGINID","LOGINPASSWORD","MODIFYDATE","MODIFYUSER","REGISTERDATE","REGISTERUSER","VALIDSTARTDATE"
"user:read","","2022-08-26 13:33:42.494","25","2022-08-24 18:59:04.495","WILL","0","SMITH","32","true","true","jhon@mail.com","$2a$10$fyJ/L.Xt.JqoH1ruVZa61eNSpsHh5q3IoCeV1L5DZvsAw4GbFZ2qi","2022-08-24 18:59:04.495","0","2022-08-24 17:56:09.796","0","2022-08-24 18:59:04.495"
"user:read","","","","2022-09-09 07:55:12.842","Dickinson","34","Blaine Volkman","212","true","false","antonio.gerhold@hotmail.com","481305","","","2022-08-26 00:36:45.381","7","2022-08-26 10:21:23.065"
"user:read","","","","2022-10-10 22:39:06.399","Trantow","29","Delphia Fisher","213","true","true","timothy.leannon@yahoo.com","482707","","","2022-08-02 22:17:18.289","38","2022-08-14 04:23:18.355"
"user:read","","","","2022-08-27 05:49:47.327","Kling","7","King Homenick III","214","true","true","timika.okon@gmail.com","181455","","","2022-08-26 04:14:01.583","48","2022-08-20 17:08:39.364"
"user:read","","","","2022-08-29 17:39:38.563","Mills","15","Ms. Margaret Deckow","215","false","true","donnie.schultz@yahoo.com","32380","","","2022-08-18 20:39:28.512","14","2022-07-21 07:12:53.522"
"user:read","","","","2022-09-23 00:53:18.411","Stiedemann","21","Scott Hickle DDS","216","false","false","hugh.sporer@yahoo.com","434158","","","2022-08-19 17:03:02.034","14","2022-07-28 22:45:16.641"
"user:read","","","","2022-10-01 16:32:48.22","Cummerata","27","Keeley Herman","217","false","true","reid.schulist@yahoo.com","370181","","","2022-08-25 13:02:38.219","47","2022-08-21 06:04:59.73"
"user:read","","","","2022-09-02 17:27:17.814","Stark","20","Dede Volkman MD","218","true","false","clarence.russel@gmail.com","464293","","","2022-08-09 13:49:42.793","19","2022-08-09 21:17:33.763"
"user:read","","","","2022-08-28 12:51:55.33","Hoppe","46","Adan Barrows","219","true","false","leonor.collins@hotmail.com","161508","","","2022-08-18 08:42:14.769","43","2022-08-03 17:14:35.918"
"user:read","","","","2022-08-29 03:41:29.801","Lueilwitz","35","Bethany Crist","220","false","true","rashad.mclaughlin@gmail.com","204534","","","2022-08-24 03:01:12.745","45","2022-08-20 07:14:52.296"
"user:read","","","","2022-08-27 10:41:31.623","Nader","21","Miss Jenifer Kovacek","221","false","true","allen.yundt@yahoo.com","150786","","","2022-08-16 07:53:43.163","45","2022-08-21 07:09:05.122"
"user:read","","","","2022-09-24 06:30:09.372","Nader","31","Marina Jast","222","false","true","paul.lindgren@hotmail.com","478192","","","2022-08-13 05:09:30.786","22","2022-08-08 20:38:29.028"
"user:read","","","","2022-08-29 12:34:20.683","Sawayn","32","Christel Leuschke","223","false","false","cathey.senger@hotmail.com","365916","","","2022-08-22 15:19:58.524","48","2022-08-05 09:37:58.391"
"user:read","","","","2022-10-18 16:11:40.65","Torp","48","Petrina Ferry","224","false","false","abraham.dicki@gmail.com","90398","","","2022-08-16 10:37:27.426","50","2022-08-20 18:04:02.791"
"user:read","","","","2022-09-21 13:20:55.94","Zboncak","8","Dr. Vernon Hermann","225","false","false","shanti.spinka@hotmail.com","98898","","","2022-08-20 22:16:05.194","43","2022-08-18 02:33:57.525"
"user:read","","","","2022-09-08 12:49:39.664","Funk","9","Mr. Jack Koch","226","false","false","evie.deckow@hotmail.com","293079","","","2022-08-24 09:34:50.846","35","2022-08-14 03:42:47.703"
"user:read","","","","2022-09-14 12:34:21.419","Kemmer","39","Booker Boyer","227","true","false","xavier.bernhard@yahoo.com","280888","","","2022-07-28 23:09:00.307","38","2022-07-31 00:34:21.248"
"user:read","","","","2022-09-12 18:05:59.048","Crooks","16","Betsey Williamson","228","false","false","rey.mclaughlin@yahoo.com","18892","","","2022-08-05 17:58:41.329","14","2022-08-12 13:44:07.274"
"user:read","","","","2022-09-26 15:47:45.17","Douglas","1","Dyan Medhurst","229","false","false","norberto.halvorson@yahoo.com","192085","","","2022-08-22 00:01:16.513","26","2022-08-26 07:21:19.051"
"user:read","","","","2022-09-22 04:14:53.296","Balistreri","8","Son Cronin","230","false","false","lester.robel@gmail.com","83263","","","2022-08-13 21:38:07.969","13","2022-08-10 23:36:41.191"
"user:read","","","","2022-10-17 11:23:20.025","Toy","5","Bernie Walter","231","true","true","reggie.hermiston@yahoo.com","4716","","","2022-08-24 03:59:16.911","11","2022-08-19 23:50:14.314"
"user:read","","","","2022-09-02 06:52:34.452","Aufderhar","26","Randolph Gulgowski","232","true","false","merrill.hyatt@gmail.com","304516","","","2022-08-14 12:13:25.149","23","2022-08-25 18:51:14.762"
"user:read","","","","2022-08-28 07:55:49.424","Casper","14","Miss Brock Beahan","233","false","true","joan.lebsack@gmail.com","310736","","","2022-08-12 09:18:10.478","39","2022-08-25 14:45:35.024"
